Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Mental disorders in former street-working boys,"Taib, N.I.; Arinell, H.; Öster, C.; Ramklint, M.","The continuity of mental disorders in street-working children is rarely studied. This study therefore investigated homotypic continuity, recurrence of the same disorder, and heterotypic continuity, when a new disorder follows on the previous, of mental disorders from childhood to adulthood in street-working boys from Duhok City, Kurdistan Region of Iraq. Mental disorders were assessed by structured diagnostic interviews in 40 street-working boys in 2004–2005 and again in 2021, when the participants’ mean ages were 12.1 (SD 1.8) and 29.7 (SD 2.3), respectively. Mental disorders were common; 24 participants (60%) satisfied the criteria for at least one diagnosis at baseline and 28 (70%) at follow-up. Comorbidity increased from 1.2 (SD 1.4) disorders initially to 2.5 (SD 1.8) at follow-up. Only anxiety disorders showed homotypic continuity. Depressive disorders exhibited the greatest increase over time whereas externalizing disorders exhibited a decreasing tendency. The number of mental disorders in adulthood was related to the number of mental disorders in childhood but not to the number of childhood traumas experienced, having previously worked for more than two hours per day, having worked for over two years on the streets, or having at least one dead parent as a child. Parental ratings on the Child Behaviour Check List (CBCL) from childhood were also unrelated to the number of adult disorders. More longitudinal studies with bigger samples of both genders are needed to fully evaluate the continuity of mental disorders in street-working children and to determine whether the number of mental disorders in childhood is a stronger predictor of being mentally disordered in adult life than psychosocial risk factors or experiences of internalizing or externalizing symptoms in childhood. © The Author(s) 2023.",2024,,Eur. Child Adolesc. Psychiatry,33,6,1783-1792,,10.1007/s00787-023-02282-w,,#45,Taib 2024,,
Exploring Mental Health Services for Youth Experiencing Homelessness in East Asian Pacific Regions: A Systematic Scoping Review,"Ermita, K.C.; Rosenthal, D.M.","Background: Youth experiencing homelessness (YEH) in East Asian Pacific (EAP) regions represent one of the most at-risk populations due to cultural and geographical factors. Effective mental health interventions, primarily researched in Western contexts, may not fully apply to YEH in EAP. Their lack of stable shelter, disrupted social networks, and limited access to mental health services elevate their susceptibility to adverse mental health, making urgent interventions essential to address their needs. Objective: The objective of this study is to explore and systematically search the types of mental health services and interventions available for YEH in EAP and their impact on overall quality of life and wellbeing. Methods: Electronic databases (e.g., Medline, PsycINFO, PubMed, Scopus) were systematically searched (publication dates between 1 January 1990 and 13 May 2023), as well as additional online resources specific to homelessness. Articles were screened, and a critical appraisal assessed the quality of the included studies. Results: Eight studies with different interventions were identified in Indonesia (n = 2), Malaysia (n = 1), South Korea (n = 3), and the Philippines (n = 1). These were thematically clustered into six categories: art, cognitive behavioural therapy, life skills education, resilience enhancement, family strengthening, and government interventions/services. Conclusions: This review highlights effective mental health interventions’ positive impact on YEH mental health outcomes and quality of life in EAP, stressing the urgent need to implement socio-culturally sensitive services. Future research should address knowledge gaps through comprehensive studies covering diverse EAP regions and populations, prioritising socio-culturally specific psychological measures. © 2024 by the authors.",2024,,Child.,11,7,,,10.3390/children11070864,,#46,Ermita 2024,,
A Novel Framework for Guiding Psychotherapy for Youth Who Have Experienced Homelessness,"Hamel, K.; Vitopoulos, N.; McDonald, K.; Kidd, S.","Youth who have experienced homelessness are impacted by disproportionately high levels of mental health symptoms, which contribute to vastly decreased well-being and early mortality. Despite a salient need for mental health support, several recent reviews have shown that few, if any, interventions currently applied to this group appear to improve mental health consistently. Furthermore, community mental services present many barriers to access for this population, given the impacts of social determinants of health on youths’ ability to engage in the available supports, the ongoing instability faced by many of these youths, and the lack of applicability of existing services to youth. A challenge exists for clinicians who work with this population of youth and wish to provide effective supports, given these obstacles and an inadequate evidence base on which to inform treatment. The purpose of this article is to propose a framework for care to inform psychotherapeutic treatment for clinicians providing mental health supports to youth with experiences of homelessness. This framework is cross-modality, transdiagnostic, and research-informed and seeks to provide a structure with which to frame treatment that acknowledges and responds to the various obstacles that practitioners frequently encounter in working with this population. The framework is accompanied by illustrative case studies to demonstrate how this framework may be applied using different treatment modalities. The hope in sharing this framework is to promote more intentional and effective interventions with this chronically underserved population of youth and also to increase the self-efficacy of those practitioners who are doing this important work. © 2024 American Psychological Association",2024,,Prof. Psychol. Res. Pract.,55,3,245-257,,10.1037/pro0000570,,#47,Hamel 2024,,
Substance use typologies among young people experiencing homelessness in seven cities across the United States: A latent class analysis,"Brown, S.; Barman-Adhikari, A.; Garcia, K.; Chassman, S.; Hsu, H.-T.; Petering, R.; Santa Maria, D.; Narendorf, S.; Shelton, J.; Bender, K.; Ferguson, K.","Background: Substance use and other health-risk risk factors, including mental health, trauma, and sexual-risk behaviors, often co-occur among youth experiencing homelessness (YEH). The present study aimed to identify subgroups of YEH based on polysubstance use and the linkages to sociodemographic and health-risk characteristics. Methods: From June 2016 to July 2017, 1,426 YEH (aged 18–26 years) were recruited from seven cities (Houston, Los Angeles, Denver, Phoenix, New York City, St. Louis, San Jose). Participants provided information via a self-administered electronic survey on substance use, mental health, trauma, sexual risk behaviors, and sociodemographic characteristics. The majority of YEH identified as Black (37.3%), cisgender (92.8%), and heterosexual (69.2%). On average, YEH were 20.9 years (SD = 2.1). This study employed latent class analysis (LCA) to identify subgroups of YEH according to their substance use. Multinomial logistic regression analyses were conducted to identify sociodemographic and health-risk characteristics associated with class-membership. Results: Four latent classes of YEH substance use were identified: (1) high polysubstance use; (2) moderate stimulant and high marijuana, alcohol, and prescription drug use; (3) high marijuana, alcohol, and prescription drug use; (4) low/moderate marijuana and alcohol use. Multinomial logistic regression models indicated that geographic location, gender, race/ethnicity, mental health, trauma history, and sexual risk behaviors were significant correlates of substance use class membership among YEH. Conclusions: These findings offer important implications for the prevention and treatment of substance use among YEH. Screening protocols should consider co-occurring risk factors such as traumatic experiences, sexual risk behaviors, and mental health history as indicators of polysubstance use. © 2023 Elsevier Ltd",2024,,Addict. Behav.,150,,,,10.1016/j.addbeh.2023.107929,,#49,Brown 2024,,
‘Bridge-builders’ and ‘boundary spanners’: a qualitative study of youth workers’ perceptions of their roles and practices with vulnerable young people in school-based settings,"Corney, T.; Gorman, J.; Woods, B.; Benedict, N.; Law, A.","This paper presents a qualitative study of 22 youth workers’ perceptions of their roles and practices in seven school-based settings in a large post-industrial city in regional Australia. Youth workers are often engaged in school-based settings working with vulnerable young people, yet knowledge of how workers perceive and conceptualize their role and practice in these settings remains limited. Through focus group interviews, youth workers were asked how they engage, and work with vulnerable students, how they conceptualize their roles and the bodies of knowledge to which those practices and roles pertain. We find that youth work in school-based settings requires the dynamic and non-linear application of the practices of youth accompaniment, family support and youth-centred advocacy, underpinned by respect for the dignity, autonomy and agency of the young person. We argue that the complex application of these practices positions youth workers as ‘bridge-builders’ and ‘boundary-spanners’. Bridge-builders assist young people to connect and engage with support services. Boundary-spanners build relationships across service providers to network different organizations and professionals for better collaboration and support of young people. These findings have implications for youth policy and practice in the area of youth work with vulnerable young people in school-based settings. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2024,,Int. J. Adolesc. Youth,29,1,,,10.1080/02673843.2024.2387080,,#54,Corney 2024,,
"Unaccompanied Unstable Housing Among Racially, Ethnically, Sexually, and Gender Diverse Youth: Intersecting Identities Bearing the Greatest Burden","Houghtaling, L.M.; Simon, K.; Gower, A.L.; McCurdy, A.; Rider, G.N.; Russell, S.T.; Eisenberg, M.E.","Disparities in youth homelessness by racial/ethnic, sexual, and gender identities are well documented, though this literature lacks specificity regarding intersectional social identities of youth who are most likely to experience homelessness. Population-based cross-sectional data on youth from the 2019 Minnesota Student Survey (N=80,456) were used to examine the relationship between parent caring and intersections of minoritized identities that experience the highest prevalence of two distinct types of unaccompanied unstable housing with expanded categories of sexual and gender identities. Exhaustive chi-square automatic interaction detection models revealed that low parent caring was the most common predictor of unaccompanied homelessness and running away, but there was important variation among youth of color at the intersection of sexual and gender identities. The findings reveal a more complex story of disparities in unaccompanied unstable housing among youth with multiple marginalized social identities and highlight the need to create culturally informed prevention and intervention strategies for parents of LGBTQ+ (lesbian, gay, bisexual, transgender, queer, and questioning) youth of color. The implications for prevention and intervention among subgroups with the highest prevalence are discussed in the context of interlocking systems of power and oppression. © 2024 Global Alliance for Behavioral Health and Social Justice",2024,,Am. J. Orthopsychiatry,94,3,311-321,,10.1037/ort0000725,,#55,Houghtaling 2024,,
"Street adolescents in low income setting exposed to hepatitis B and C, and disadvantaged by lifestyle: a Togolese cross-sectional study","Sadio, A.J.; Ferré, V.M.; Adama, O.I.W.; Kouanfack, H.R.; Dagnra, A.C.; Amenyah-Ehlan, A.P.; Lawson-Ananissoh, L.M.; Descamps, D.; Charpentier, C.; Ekouevi, D.K.","Background: In Togo, few data are available on viral hepatitis in street adolescents, a vulnerable population due to their lifestyle. The aim of this study was to describe the lifestyle of street adolescents (sexual practices and drug use), to estimate the prevalence of hepatitis B and C viruses, and to describe their HBV immunization profile in Togo. Methods: A cross-sectional study was conducted in Lomé (Togo) in July 2021. Street adolescents aged between 13 and 19 years were included. A questionnaire was used to document lifestyle. ELISA tests were performed for Hepatitis B surface antigen (HBsAg), Hepatitis B core and surface antibodies (anti-HBc, anti-HBs), and antibodies against hepatitis C virus (anti-HCV). Results: A total of 299 adolescents (5.4% female) with a median age of 15 years (IQR: 14–17) were included. Of these, 70.6% (211/299) were sexually active and 70.6% (149/211) had not used a condom during their last sexual intercourse. Drug use was reported by 42.1% of the adolescents. The most used substances were cannabis (39.0%), cocaine (36.6%), glue solvents (19.5%), and tramadol (11.4%). However, cocaine use may have been overestimated due to information bias. Current HBV infection (HBsAg+) was detected in 3.7% (95%CI: 1.9–6.5) of the adolescents. Isolated anti-HBc + was present in 5.3%. All three HBV markers (HBsAg, anti-HBs, and anti-HBc) were negative in 71.6% of adolescents. Anti-HCV was detected in 4.7% of adolescents. Conclusion: Nearly one in 10 street adolescents has markers for HBV contact/current infection, and approximately 72% of street adolescents may still be infected with HBV, as they have no HBV markers. HCV is also circulating in this population. Given the reported high-risk sexual practices and high levels of drug use, there is an urgent need to develop integrated strategies to prevent infections, including HBV, and drug dependence in this population. © The Author(s) 2024.",2024,,BMC Public Health,24,1,,,10.1186/s12889-024-19415-8,,#59,Sadio 2024,,
Is residential care a risk factor for teenage pregnancy? A study on the experiences of young women's discharge and transition from residential care in Trinidad and Tobago,"Roberts, P.","Some English-speaking Caribbean nations continue to maintain large residential homes for children and youth who need out-of-home care. My doctoral study with alumni from a number of these homes reported that their overall experiences were positive. However, transition and discharge were less favourable, with women suffering more hardships than men. These hardships included homelessness, which often led to sexual exploitation for women. A number of young women became pregnant within a year of discharge from the home (which normally happened at the age of 16 or 18). An unplanned pregnancy can have immediate and lasting consequences for a young woman's health, education, and income-earning potential. It often alters the course of her entire life. This study provides information from a sample of 15 young adult women in Trinidad and Tobago on the risk factor of living in a residential care facility and unplanned teenage pregnancy. Recommendations are proposed to better prepare young women who grew up in residential care. © 2023 The Author. Child & Family Social Work published by John Wiley & Sons Ltd.",2024,,Child Fam. Soc. Work,29,2,482-489,,10.1111/cfs.13101,,#63,Roberts 2024,,
"The prevalence of sexually transmitted infections and their association with knowledge, attitudes, and practice in male street children in Indonesia","Nilasari, H.; Indriatmi, W.; Irawan, Y.; Budiono, S.E.; Silviana, A.; Waworuntu, W.","Background: Street children’s level of knowledge, attitudes, and practice (KAP) regarding sexually transmitted infections (STIs) and HIV-related diseases remains a challenge since it is difficult to reach all key populations. This study aims to provide an overview of the findings of STI cases and their association with the KAP of street children in Jakarta and Banten. Methods: We conducted a cross-sectional study on 259 male street children (aged 10 –21 years old). We collected the data through questionnaire interviews, history taking, physical examination, and specimen collection for STI and HIV testing. Results: 5.8% (n = 15) STI cases were discovered, consisting of Hepatitis B (n = 6), Hepatitis C (n = 1), HIV (n = 2), Chlamydia (n = 3), Syphilis (n = 1), and Gonorrhea (n = 1). Buskers (44.4%) and other occupations like helping parents sell their wares, parking lot attendants, shoe shiners, or gathering (44.8%) dominated the sociodemographic characteristics. Condomless sex predominated risky sexual behavior, despite some subjects already having good knowledge. Conclusion: Sociodemographic characteristics and the KAP of street children in Indonesia are varied. The association between the KAP level and STI cases in street children is challenging to describe. Further studies covering more areas in Indonesia are required. © The Author(s) 2023.",2024,,Int. J. STD AIDS,35,2,112-121,,10.1177/09564624231202058,,#64,Nilasari 2024,,
Navigating and negotiating “outness” among 2S/LGBTQ+ youth experiencing homelessness,"Goodyear, T.; Knight, R.; Fast, D.; Oliffe, J.L.; Jensen, M.; Kia, H.; Jenkins, E.","There are important implications associated with coming and being out for Two-Spirit, lesbian, gay, bisexual, transgender, and queer, and other sexual and gender minority (2S/LGBTQ+) people. “Outness” is indeed imbued with risks, particularly in contexts of visibility and structural precarity. This community-based study used photovoice methods, including data from 61 semi-structured interviews with 32 2S/LGBTQ+ youth (ages 17-29), to examine how they navigate and negotiate outness in connection with homelessness. Our reflexive thematic analysis was guided by theoretical perspectives related to gender and queer performativity, hegemonic masculinities, and strategic outness. We developed four themes: (i) being out in/of harm's way, (ii) norming outness, (iii) concealing outness, and (iv) masc-ing up. Across these thematic findings, we characterize the stakes of coming out and being outed with respect to trajectories and experiences of homelessness for 2S/LGBTQ+ youth. Moreover, we examine youths’ dynamics of managing outness to broker access to services and housing and mitigate anti-2S/LGBTQ+ and gender-based discrimination and violence risks. Findings detail how youth negotiate the tensions between what they perceive and experience as possible with respect to outness in the context of homelessness and pursuing belonging, safety, material security, and housing. Recognizing these efforts while addressing long-standing inequities in homelessness for 2S/LGBTQ+ youth is a necessary pursuit. © 2024 The Authors",2024,,Child. Youth Serv. Rev.,164,,,,10.1016/j.childyouth.2024.107830,,#68,Goodyear 2024,,
Assessing the association between safety perceptions and communication about sex and drugs among Black adolescents exposed to adversity,"Smith, B.D.; Spencer, B.H.; Nur-Singletary, Z.; Adane, N.; Moser, N.; Powell, T.","The present study examined the association between safety perceptions and communication with a trusted adult about sex and drugs among Black adolescents exposed to adverse childhood experiences (ACEs) and the role of gender as a potential moderator in this association. Data were drawn from a small, randomized control pilot test of an adapted evidence-based intervention conducted from 2022 to 2023 in Baltimore, Maryland. The sample included 57 Black adolescents who had been exposed to ACEs (Mage = 15.14 years, SD = 0.81l; 47.4% female, 52.6% male). Information about safety perceptions, health communication, health behaviors, and demographic characteristics was measured using an electronic survey at baseline. Group differences by gender emerged among ACEs and substance use behaviors. Safety perceptions were significantly associated with communication with a trusted adult, B = 0.31, SE = 0.24, p =.039. As youth felt more unsafe, their communication with a trusted adult about sex and drugs increased; this association did not differ by gender. Health communication was also associated with ACEs. Black adolescents living with a parent with mental health challenges reported increased communication, B = 0.60, SE = 0.20, p =.005, whereas youth experiencing homelessness had reduced health communication, B = -0.63, SE = 0.24, p =.012. A lack of perceived safety significantly impacts health communication; however, having trusted adults outside of the home, school, and neighborhood can serve as a protective factor in reducing substance use and sexual risk-taking among this population. © 2024 International Society for Traumatic Stress Studies.",2024,,J. Trauma. Stress,37,4,662-671,,10.1002/jts.23044,,#70,Smith 2024,,
